Date,Open,High,Low,Close,Adj Close,Volume,Day
2013-09-26,152.699997,153.539993,152.470001,152.949997,123.712578,5026300,0
2013-09-27,152.300003,152.440002,151.759995,152.210007,123.113998,6634800,1
2013-09-30,150.789993,151.539993,150.449997,151,122.135307,9426100,2
2013-10-01,151,151.770004,150.770004,151.619995,122.636719,8616300,3
2013-10-02,150.899994,151.100006,150.149994,150.979996,122.11911,8895300,4
2013-10-03,150.660004,150.759995,149.169998,149.669998,121.059509,10949200,5
2013-10-04,149.679993,150.559998,149.429993,150.429993,121.674225,6867800,6
2013-10-07,149.119995,149.850006,148.910004,149,120.517578,6081100,7
2013-10-08,149,149.139999,147.5,147.529999,119.32856,10388000,8
2013-10-09,147.690002,148.320007,146.960007,147.779999,119.5308,11075200,9
2013-10-10,149.139999,151.009995,149.089996,150.960007,122.102936,12792200,10
2013-10-11,150.919998,152.220001,150.759995,152.169998,123.081543,8186000,11
2013-10-14,151.190002,152.880005,151.080002,152.800003,123.591118,6470100,12
2013-10-15,152.600006,152.800003,151.339996,151.339996,122.410179,8144700,13
2013-10-16,152.369995,153.559998,152.240005,153.520004,124.173523,8714800,14
2013-10-17,152.110001,153.589996,152.050003,153.479996,124.141243,9916600,15
2013-10-18,153.660004,153.800003,152.889999,153.600006,124.376053,7714400,16
2013-10-21,153.690002,153.759995,153.270004,153.529999,124.319382,3588300,17
2013-10-22,154.029999,154.860001,153.820007,154.25,124.90239,7501700,18
2013-10-23,153.809998,154.029999,153.320007,153.820007,124.554199,5428400,19
2013-10-24,154.190002,154.949997,154.100006,154.800003,125.347801,5182600,20
2013-10-25,154.910004,155.449997,154.789993,155.449997,125.874039,4565000,21
2013-10-28,155.199997,155.649994,154.990005,155.369995,125.809242,4968800,22
2013-10-29,155.710007,156.5,155.619995,156.5,126.72422,5779100,23
2013-10-30,156.729996,156.869995,155.369995,155.869995,126.214111,6100200,24
2013-10-31,155.610001,156.179993,155.100006,155.289993,125.744499,8157400,25
2013-11-01,155.580002,156.149994,155.080002,155.860001,126.206108,5909900,26
2013-11-04,156.259995,156.360001,155.529999,156.059998,126.368011,4042500,27
2013-11-05,155.279999,156.179993,154.869995,155.889999,126.230362,5442800,28
2013-11-06,156.490005,157.289993,156.369995,157.220001,127.307281,7548400,29
2013-11-07,157.720001,157.800003,155.679993,155.850006,126.197968,10211000,30
2013-11-08,155.660004,157.490005,155.580002,157.490005,127.525963,7594900,31
