Date,Open,High,Low,Close,Adj Close,Volume
2013-09-26,152.699997,153.539993,152.470001,152.949997,123.712578,5026300
2013-09-27,152.300003,152.440002,151.759995,152.210007,123.113998,6634800
2013-09-30,150.789993,151.539993,150.449997,151.000000,122.135307,9426100
2013-10-01,151.000000,151.770004,150.770004,151.619995,122.636719,8616300
2013-10-02,150.899994,151.100006,150.149994,150.979996,122.119110,8895300
2013-10-03,150.660004,150.759995,149.169998,149.669998,121.059509,10949200
2013-10-04,149.679993,150.559998,149.429993,150.429993,121.674225,6867800
2013-10-07,149.119995,149.850006,148.910004,149.000000,120.517578,6081100
2013-10-08,149.000000,149.139999,147.500000,147.529999,119.328560,10388000
2013-10-09,147.690002,148.320007,146.960007,147.779999,119.530800,11075200
2013-10-10,149.139999,151.009995,149.089996,150.960007,122.102936,12792200
2013-10-11,150.919998,152.220001,150.759995,152.169998,123.081543,8186000
2013-10-14,151.190002,152.880005,151.080002,152.800003,123.591118,6470100
2013-10-15,152.600006,152.800003,151.339996,151.339996,122.410179,8144700
2013-10-16,152.369995,153.559998,152.240005,153.520004,124.173523,8714800
2013-10-17,152.110001,153.589996,152.050003,153.479996,124.141243,9916600
2013-10-18,153.660004,153.800003,152.889999,153.600006,124.376053,7714400
2013-10-21,153.690002,153.759995,153.270004,153.529999,124.319382,3588300
2013-10-22,154.029999,154.860001,153.820007,154.250000,124.902390,7501700
2013-10-23,153.809998,154.029999,153.320007,153.820007,124.554199,5428400
2013-10-24,154.190002,154.949997,154.100006,154.800003,125.347801,5182600
2013-10-25,154.910004,155.449997,154.789993,155.449997,125.874039,4565000
2013-10-28,155.199997,155.649994,154.990005,155.369995,125.809242,4968800
2013-10-29,155.710007,156.500000,155.619995,156.500000,126.724220,5779100
2013-10-30,156.729996,156.869995,155.369995,155.869995,126.214111,6100200
2013-10-31,155.610001,156.179993,155.100006,155.289993,125.744499,8157400
2013-11-01,155.580002,156.149994,155.080002,155.860001,126.206108,5909900
2013-11-04,156.259995,156.360001,155.529999,156.059998,126.368011,4042500
2013-11-05,155.279999,156.179993,154.869995,155.889999,126.230362,5442800
2013-11-06,156.490005,157.289993,156.369995,157.220001,127.307281,7548400
2013-11-07,157.720001,157.800003,155.679993,155.850006,126.197968,10211000
2013-11-08,155.660004,157.490005,155.580002,157.490005,127.525963,7594900
2013-11-11,157.330002,157.729996,157.149994,157.610001,127.623093,3795200
2013-11-12,157.419998,157.720001,156.869995,157.369995,127.428757,4094800
2013-11-13,156.520004,158.119995,156.500000,158.059998,127.987442,5062900
2013-11-14,158.100006,158.809998,157.949997,158.729996,128.529953,6931000
2013-11-15,158.570007,159.300003,158.479996,159.300003,129.234192,6529100
2013-11-18,159.710007,159.949997,159.070007,159.440002,129.347717,5236000
2013-11-19,159.580002,159.929993,159.089996,159.330002,129.258530,5017300
2013-11-20,159.550003,159.880005,158.350006,158.770004,128.804230,8401100
2013-11-21,159.289993,159.880005,159.169998,159.860001,129.688431,4579900
2013-11-22,159.830002,160.429993,159.479996,160.399994,130.126541,4466400
2013-11-25,160.809998,160.850006,160.300003,160.610001,130.296890,5114400
2013-11-26,160.539993,160.970001,160.460007,160.500000,130.207687,5231300
2013-11-27,160.789993,160.940002,160.410004,160.850006,130.491562,6272800
2013-11-29,161.110001,161.580002,160.580002,160.720001,130.386124,2887900
2013-12-02,160.759995,160.839996,159.710007,159.919998,129.737183,5655700
2013-12-03,159.229996,159.619995,158.460007,158.990005,128.982605,8660700
2013-12-04,158.460007,159.520004,157.830002,158.759995,128.796112,7138200
2013-12-05,158.449997,158.889999,158.009995,158.119995,128.276886,5823000
2013-12-06,159.529999,160.179993,159.130005,160.160004,129.931839,6345300
2013-12-09,160.289993,160.529999,160.110001,160.229996,129.988632,3967700
2013-12-10,159.770004,160.190002,159.639999,159.720001,129.574997,4047600
2013-12-11,159.839996,159.899994,158.229996,158.309998,128.430923,7906700
2013-12-12,158.210007,158.429993,157.070007,157.470001,127.749611,7078700
2013-12-13,157.539993,157.970001,157.100006,157.649994,127.895638,8886500
2013-12-16,158.369995,159.369995,158.250000,158.899994,128.909622,7076500
2013-12-17,159.270004,159.289993,158.389999,158.779999,128.812271,6001100
2013-12-18,159.160004,161.789993,158.110001,161.759995,131.229767,15330700
2013-12-19,161.479996,162.009995,161.279999,161.880005,131.327240,8018300
2013-12-20,161.619995,162.529999,161.610001,162.009995,131.754257,7978200
2013-12-23,162.570007,162.850006,162.330002,162.619995,132.250259,4992800
2013-12-24,162.720001,163.259995,162.589996,163.160004,132.689362,2462000
2013-12-26,163.600006,164.490005,163.580002,164.460007,133.746643,4971600
2013-12-27,164.759995,164.919998,164.220001,164.470001,133.754745,6176900
2013-12-30,164.550003,164.679993,164.399994,164.589996,133.852341,4043600
2013-12-31,164.940002,165.509995,164.809998,165.470001,134.568054,5667800
2014-01-02,164.789993,165.009995,163.839996,164.110001,133.461960,9291100
2014-01-03,164.399994,164.869995,164.039993,164.389999,133.689651,6127600
2014-01-06,164.990005,165.059998,163.710007,163.889999,133.283081,7446800
2014-01-07,164.660004,165.289993,164.520004,164.970001,134.161392,5387200
2014-01-08,164.699997,164.830002,163.910004,164.350006,133.657196,9461800
2014-01-09,164.949997,164.990005,163.520004,164.190002,133.527054,8212900
2014-01-10,164.559998,164.690002,163.520004,164.179993,133.518845,7497200
2014-01-13,163.899994,164.279999,162.139999,162.240005,131.941254,10676100
2014-01-14,162.740005,163.470001,162.369995,163.449997,132.925278,7335400
2014-01-15,163.660004,164.800003,163.589996,164.570007,133.836075,7780800
2014-01-16,164.220001,164.330002,163.520004,163.979996,133.356262,5170900
2014-01-17,163.789993,164.589996,163.610001,164.080002,133.545944,8013200
2014-01-21,165.029999,165.050003,162.789993,163.729996,133.261017,9675200
2014-01-22,163.759995,163.800003,162.990005,163.470001,133.049469,5418100
2014-01-23,162.429993,162.429993,161.070007,161.710007,131.616943,9456000
2014-01-24,160.710007,160.889999,158.479996,158.479996,128.987915,14663200
2014-01-27,158.710007,159.110001,157.509995,158.020004,128.613602,14215300
2014-01-28,158.470001,159.169998,158.279999,158.940002,129.362457,8308000
2014-01-29,157.660004,158.250000,156.750000,157.100006,127.864853,14271200
2014-01-30,158.300003,158.770004,157.369995,158.169998,128.735657,7864700
2014-01-31,156.229996,157.699997,155.850006,156.750000,127.579987,10693100
2014-02-03,156.570007,156.759995,153.250000,153.529999,124.959221,18172800
2014-02-04,153.949997,154.529999,153.259995,154.080002,125.406891,11853400
